GEO.id,GEO.id2,GEO.display-label,HD01_VD01
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",3492
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",3053
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",2654
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",754
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",5067
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",5657
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",6008
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",5494
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",3996
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",5619
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",2462
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",3818
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",3419
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",3167
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",1402
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",2468
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",3876
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",4455
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",1641
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",282
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",997
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",1161
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",2449
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",1841
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",1730
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",4
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",6319
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",7046
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",3656
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",4631
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",5267
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",3536
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",3397
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",5523
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",4335
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",3923
