GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC03_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC03_EST_VC05,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC01_EST_VC08,HC02_EST_VC08,HC03_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC03_EST_VC09,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC01_EST_VC14,HC02_EST_VC14,HC03_EST_VC14,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC01_EST_VC16,HC02_EST_VC16,HC03_EST_VC16,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC01_EST_VC22,HC02_EST_VC22,HC03_EST_VC22,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC01_EST_VC25,HC02_EST_VC25,HC03_EST_VC25,HC01_EST_VC26,HC02_EST_VC26,HC03_EST_VC26,HC01_EST_VC27,HC02_EST_VC27,HC03_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28
1400000US36081047000,36081047000,"Census Tract 470, Queens County, New York",3376,363,10.8,128,0,0.0,,0,0.0,,0,0.0,548,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,2246,210,9.3,,31,1.4,,94,4.2,,106,4.7,,72,3.2,,32,1.4,,60,2.7,454,153,33.7,,56,12.3,,11,2.4,,69,15.2,,81,17.8,,26,5.7,,77,17.0
1400000US36081047100,36081047100,"Census Tract 471, Queens County, New York",3794,327,8.6,231,1,0.4,,1,0.4,,0,0.0,484,10,2.1,,0,0.0,,0,0.0,,10,2.1,,0,0.0,,0,0.0,2576,105,4.1,,0,0.0,,1,0.0,,38,1.5,,78,3.0,,11,0.4,,104,4.0,503,211,41.9,,116,23.1,,26,5.2,,94,18.7,,71,14.1,,53,10.5,,100,19.9
1400000US36081047200,36081047200,"Census Tract 472, Queens County, New York",3086,222,7.2,81,0,0.0,,0,0.0,,0,0.0,305,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,2111,92,4.4,,0,0.0,,0,0.0,,65,3.1,,33,1.6,,15,0.7,,45,2.1,589,130,22.1,,65,11.0,,53,9.0,,18,3.1,,88,14.9,,46,7.8,,82,13.9
1400000US36081047300,36081047300,"Census Tract 473, Queens County, New York",3431,316,9.2,244,0,0.0,,0,0.0,,0,0.0,371,43,11.6,,0,0.0,,9,2.4,,34,9.2,,0,0.0,,0,0.0,2214,97,4.4,,16,0.7,,32,1.4,,33,1.5,,17,0.8,,23,1.0,,14,0.6,602,176,29.2,,28,4.7,,26,4.3,,29,4.8,,150,24.9,,31,5.1,,62,10.3
1400000US36081047500,36081047500,"Census Tract 475, Queens County, New York",4661,333,7.1,253,0,0.0,,0,0.0,,0,0.0,704,5,0.7,,0,0.0,,5,0.7,,5,0.7,,0,0.0,,0,0.0,3184,145,4.6,,0,0.0,,18,0.6,,46,1.4,,90,2.8,,42,1.3,,41,1.3,520,183,35.2,,63,12.1,,8,1.5,,53,10.2,,120,23.1,,46,8.8,,108,20.8
1400000US36081047600,36081047600,"Census Tract 476, Queens County, New York",1349,175,13.0,92,0,0.0,,0,0.0,,0,0.0,142,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,807,92,11.4,,0,0.0,,0,0.0,,7,0.9,,85,10.5,,2,0.2,,5,0.6,308,83,26.9,,23,7.5,,20,6.5,,9,2.9,,54,17.5,,19,6.2,,62,20.1
1400000US36081047800,36081047800,"Census Tract 478, Queens County, New York",5115,736,14.4,222,0,0.0,,0,0.0,,0,0.0,615,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,3154,430,13.6,,19,0.6,,137,4.3,,76,2.4,,243,7.7,,98,3.1,,16,0.5,1124,306,27.2,,158,14.1,,27,2.4,,16,1.4,,232,20.6,,31,2.8,,103,9.2
1400000US36081047900,36081047900,"Census Tract 479, Queens County, New York",5775,358,6.2,280,0,0.0,,0,0.0,,0,0.0,752,61,8.1,,0,0.0,,0,0.0,,61,8.1,,0,0.0,,20,2.7,4077,98,2.4,,0,0.0,,8,0.2,,30,0.7,,32,0.8,,28,0.7,,30,0.7,666,199,29.9,,62,9.3,,33,5.0,,41,6.2,,170,25.5,,73,11.0,,118,17.7
1400000US36081048000,36081048000,"Census Tract 480, Queens County, New York",2645,240,9.1,155,0,0.0,,0,0.0,,0,0.0,405,25,6.2,,0,0.0,,0,0.0,,25,6.2,,0,0.0,,0,0.0,1701,80,4.7,,13,0.8,,6,0.4,,28,1.6,,39,2.3,,6,0.4,,33,1.9,384,135,35.2,,97,25.3,,9,2.3,,15,3.9,,58,15.1,,21,5.5,,48,12.5
1400000US36081048100,36081048100,"Census Tract 481, Queens County, New York",6546,503,7.7,323,0,0.0,,0,0.0,,0,0.0,1003,27,2.7,,0,0.0,,0,0.0,,27,2.7,,27,2.7,,0,0.0,4612,238,5.2,,54,1.2,,9,0.2,,128,2.8,,72,1.6,,23,0.5,,49,1.1,608,238,39.1,,100,16.4,,92,15.1,,107,17.6,,184,30.3,,113,18.6,,148,24.3
